seed,model,train_ratio,epoch,train_samples,source_loads,target_load,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift,train_loss,train_acc,train_macro_f1,source_val_loss,source_val_acc,source_val_macro_f1
42,CNN-BiLSTM,0.5,2,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.3276825611755259,0.6344174557431042,0.6122508432779521,0.6831464056982496,0.9034116149864121,0.8886956827418797
42,CNN-BiLSTM,0.5,3,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.5692468941481627,0.8830794565664882,0.8820249209607957,0.24054209773468896,0.9742495713489561,0.9740932671564112
42,CNN-BiLSTM,0.5,4,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.3244739133495026,0.9263071222725402,0.9267896640518878,0.21817652107164276,0.9307060779393889,0.9239262533351109
42,CNN-BiLSTM,0.5,5,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.22363346125570135,0.9427748044462742,0.9434549444842812,0.11256256779577563,0.9820038379555417,0.9821648909513212
42,CNN-BiLSTM,0.5,6,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.18861999023765535,0.9489501852614245,0.9496319122476023,0.07910178853548262,0.9873499721346043,0.9874642728644657
42,CNN-BiLSTM,0.5,7,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.15979421400714677,0.9538904899135446,0.9544014960053737,0.11239754509603965,0.9757372715878843,0.9759611333298778
42,CNN-BiLSTM,0.5,8,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.13348851154166125,0.9629477151090984,0.9634402951359039,0.047162317272514305,0.9872507893827507,0.9875164969277752
42,CNN-BiLSTM,0.5,9,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.08791188130323142,0.9798270893371758,0.9800637255565604,0.039937200414941816,0.9888057236097465,0.9888975651300513
42,CNN-BiLSTM,0.5,10,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.09416867520532868,0.9736517085220255,0.9740934065097839,0.06482120022830094,0.9777371287726012,0.9771406296794423
42,CNN-BiLSTM,1.0,1,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.7252839825866744,0.4352651048088779,0.4220332163012907,0.6025611226297051,0.9316102997725625,0.9306319754554422
42,CNN-BiLSTM,1.0,2,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.4326377917851287,0.9169749280723387,0.916820040737603,0.21129191715239823,0.9319097850629987,0.9209163631923424
42,CNN-BiLSTM,1.0,3,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.20028490305063268,0.945540484997945,0.9461643902801926,0.14642561245179864,0.9393121802558692,0.930913899827098
42,CNN-BiLSTM,1.0,4,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.13678447630882656,0.9656802301685162,0.9660874921318902,0.04898057823874486,0.9842631962552848,0.9846308920713742
42,CNN-BiLSTM,1.0,5,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.11272144535815966,0.9662967529798603,0.9667524680179099,0.04721030735336008,0.9878295688373769,0.9879967449072568
42,CNN-BiLSTM,1.0,6,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.09141365014570906,0.9720509658857378,0.9724623215014248,0.03947104230557541,0.9893879092909549,0.9894192150468069
42,CNN-BiLSTM,1.0,7,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.07582996423064169,0.9765721331689272,0.9769004282528035,0.03485767892579622,0.9893831405737399,0.989399618915046
42,CNN-BiLSTM,1.0,8,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.06249455420742102,0.9792437320180847,0.9795023141084533,0.06673890128891218,0.9718896678067267,0.9706058265847828
42,CNN-BiLSTM,1.0,9,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.046675001305902734,0.9866420057542129,0.9868058752113393,0.07587196922188184,0.972393038329488,0.9711964360230819
42,CNN-BiLSTM,1.0,10,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.059551445735894847,0.9831483764899301,0.9834094343056611,0.031305251997566626,0.9898851486058685,0.9898772940208483
42,CNN-BiLSTM-Attention,0.1,1,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.344344003566568,0.0995850622406639,0.08503155637247746,2.2680383020355412,0.1119188136153853,0.037093426160588396
42,CNN-BiLSTM-Attention,0.1,2,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.2776535566417015,0.15352697095435686,0.12178235750283326,2.2273829354765415,0.2349184147175253,0.12540963880757913
42,CNN-BiLSTM-Attention,0.1,3,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.225743895249743,0.21369294605809128,0.17672027955119188,2.1185654726135965,0.3984139624100325,0.32332854359417573
42,CNN-BiLSTM-Attention,0.1,4,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.1269283324356394,0.3215767634854772,0.28091334693769526,1.956810516374957,0.47831922416828565,0.3858778474737306
42,CNN-BiLSTM-Attention,0.1,5,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.9457499901783417,0.36929460580912865,0.32349012597890947,1.7453324312988838,0.44249883654790834,0.3631365020471186
42,CNN-BiLSTM-Attention,0.1,6,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.6960272507054182,0.4170124481327801,0.3575505198356299,1.4742169859480214,0.604914421635038,0.5463927757454383
42,CNN-BiLSTM-Attention,0.1,7,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.485749967365344,0.5414937759336099,0.5142457673194083,1.178624109808224,0.7759985373745133,0.7414423515826885
42,CNN-BiLSTM-Attention,0.1,8,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.2031469839737128,0.6514522821576764,0.6390676096301348,0.923601506582818,0.8531124908380713,0.8326530994346791
42,CNN-BiLSTM-Attention,0.1,9,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.973742920086097,0.7966804979253111,0.7894839119892184,0.7431970656233933,0.919976480621033,0.9167488031394807
42,CNN-BiLSTM-Attention,0.1,10,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.8243503944013129,0.8506224066390041,0.8503843207253391,0.5571943281400227,0.9535524973386291,0.9541732436833623
42,CNN-BiLSTM-Attention,0.3,1,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.281187421672947,0.14835164835164835,0.12790529389636834,2.147150630173551,0.20553986639384023,0.10658165687066562
