model,train_ratio,epoch,train_samples,target_load,train_loss,train_acc,train_macro_f1,test_loss,test_acc,test_macro_f1
SE-ResNet1D,0.5,3,2429,3,0.014597653799156205,0.9995883079456567,0.9995959595959597,0.30262452457498723,0.8958630527817404,0.8823899242798152
SE-ResNet1D,0.5,4,2429,3,0.008139338674362688,0.9995883079456567,0.9995538512409746,0.4632888829502305,0.9001426533523538,0.8690786090234909
SE-ResNet1D,0.5,5,2429,3,0.006379822594843676,0.9987649238369699,0.9987853803062776,1.7621594919881567,0.7004279600570613,0.6366436203645506
SE-ResNet1D,0.5,6,2429,3,0.054180016576286794,0.9851790860436394,0.9853335584434465,0.9784180827973666,0.7646219686162625,0.7078052459552775
SE-ResNet1D,0.5,7,2429,3,0.06186141820448865,0.9814738575545492,0.9817975504573745,0.17248986066636576,0.9243937232524965,0.924803216806124
SE-ResNet1D,0.5,8,2429,3,0.011681552089907201,0.9979415397282833,0.9979756487957558,0.6173267559833909,0.8473609129814551,0.8177323816282354
SE-ResNet1D,0.5,9,2429,3,0.005328683494891206,1.0,1.0,1.0670979274729115,0.7988587731811697,0.7492805755395684
SE-ResNet1D,0.5,10,2429,3,0.007186332521611229,0.9983532317826266,0.9983805552285547,0.7044894018286199,0.8174037089871612,0.7856673330693169
SE-ResNet1D,1.0,1,4866,3,0.3292956786223316,0.9245787094122483,0.9267812240621757,1.2132277374837372,0.7574893009985735,0.7156309934790948
SE-ResNet1D,1.0,2,4866,3,0.034949103684960396,0.9930127414714345,0.9931275643668507,1.1762310205781088,0.7988587731811697,0.7326954177897574
SE-ResNet1D,1.0,3,4866,3,0.01590858974815199,0.9967118783394986,0.996767662540129,1.2031266318046927,0.7346647646219686,0.6859517598768455
SE-ResNet1D,1.0,4,4866,3,0.031253496766016894,0.9932182490752158,0.9933242878688855,1.2374147606320074,0.7589158345221113,0.7171489031704998
SE-ResNet1D,1.0,5,4866,3,0.017343865383678242,0.9969173859432799,0.9969682134610445,0.857851003640522,0.8288159771754636,0.7979442933022411
SE-ResNet1D,1.0,6,4866,3,0.016737032005700415,0.9958898479243732,0.9959235661759708,1.7512866943768148,0.7146932952924394,0.6786067143982535
SE-ResNet1D,1.0,7,4866,3,0.037370336808928775,0.989108096999589,0.989175787521248,1.3577039581422095,0.7432239657631954,0.7198501850882804
SE-ResNet1D,1.0,8,4866,3,0.04467309979079586,0.9909576654336211,0.9908188437940965,0.04639469744363925,0.9800285306704708,0.9800699960927683
SE-ResNet1D,1.0,9,4866,3,0.013932743788445334,0.9963008631319359,0.9963692831686835,0.5340854089053483,0.8074179743223966,0.7638019387868871
SE-ResNet1D,1.0,10,4866,3,0.004344264721743643,0.9993834771886559,0.999394139755935,0.8335894794899508,0.8202567760342369,0.8037396683744124
